* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ZMF Aeolus, L ZMF Aeolus, L ZMF Aeolus
* Dated: Jun 30, 2024 12:09:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ZMF Aeolus, L ZMF Aeolus, L ZMF Aeolus
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.538
20.299999	78.692
20.600000	78.842
20.900000	78.991
21.200001	79.138
21.400000	79.237
21.799999	79.433
22.000000	79.529
22.400000	79.716
22.700001	79.849
23.000000	79.976
23.299999	80.099
23.600000	80.222
24.000000	80.388
24.299999	80.519
24.700001	80.703
25.000000	80.844
25.400000	81.032
25.799999	81.211
26.200001	81.370
26.500000	81.473
26.900000	81.586
27.200001	81.655
27.600000	81.732
28.000000	81.800
28.500000	81.889
29.000000	81.990
29.500000	82.102
30.000000	82.217
30.400000	82.308
30.700001	82.375
31.100000	82.462
31.500000	82.546
32.000000	82.648
32.500000	82.746
33.000000	82.841
33.500000	82.935
34.000000	83.028
34.500000	83.120
35.000000	83.209
35.500000	83.295
36.000000	83.379
36.500000	83.460
37.000000	83.540
37.500000	83.614
38.200001	83.708
38.700001	83.766
39.500000	83.854
40.000000	83.908
40.599998	83.974
41.200001	84.038
41.799999	84.095
42.500000	84.154
43.099998	84.198
43.700001	84.239
44.400002	84.286
45.000000	84.326
45.500000	84.360
46.200001	84.407
46.799999	84.446
47.500000	84.491
48.200001	84.534
48.700001	84.566
49.400002	84.613
50.000000	84.657
50.799999	84.717
51.500000	84.767
52.200001	84.812
53.000000	84.856
53.799999	84.897
54.500000	84.929
55.200001	84.960
56.000000	84.993
57.000000	85.030
58.000000	85.066
59.000000	85.104
60.000000	85.147
60.799999	85.184
61.500000	85.216
62.200001	85.245
63.000000	85.274
64.000000	85.307
65.000000	85.334
66.000000	85.355
67.000000	85.372
68.000000	85.388
69.000000	85.405
70.000000	85.425
71.000000	85.446
72.000000	85.466
73.000000	85.484
74.000000	85.498
75.000000	85.512
76.199997	85.528
77.500000	85.547
78.800003	85.569
80.000000	85.591
81.199997	85.613
82.500000	85.637
83.800003	85.660
85.000000	85.683
86.199997	85.708
87.500000	85.738
88.500000	85.763
90.000000	85.800
91.199997	85.828
92.500000	85.856
93.800003	85.881
95.000000	85.903
96.199997	85.927
97.500000	85.957
98.800003	85.989
100.000000	86.019
101.500000	86.051
103.000000	86.063
104.400002	86.052
106.000000	86.025
107.500000	86.009
109.000000	86.020
110.599998	86.061
112.000000	86.112
113.800003	86.181
115.000000	86.220
117.199997	86.271
118.000000	86.284
120.599998	86.318
122.000000	86.337
124.099998	86.368
125.000000	86.381
126.500000	86.402
128.000000	86.420
131.500000	86.452
132.000000	86.456
134.000000	86.467
136.000000	86.473
138.000000	86.474
140.000000	86.470
143.000000	86.460
145.000000	86.454
147.500000	86.449
150.000000	86.448
152.500000	86.450
155.000000	86.451
157.500000	86.449
160.000000	86.447
162.500000	86.450
165.000000	86.464
167.500000	86.484
170.000000	86.503
172.500000	86.512
175.000000	86.510
177.500000	86.499
180.000000	86.493
182.500000	86.499
185.000000	86.513
187.500000	86.525
190.000000	86.528
192.500000	86.523
195.000000	86.518
197.500000	86.520
200.000000	86.523
203.000000	86.519
206.000000	86.502
209.000000	86.482
212.000000	86.472
214.000000	86.475
218.000000	86.494
220.000000	86.509
224.000000	86.548
227.000000	86.580
230.000000	86.609
233.000000	86.636
236.000000	86.665
240.000000	86.710
243.000000	86.745
247.000000	86.786
250.000000	86.813
254.000000	86.848
258.000000	86.882
262.000000	86.915
265.000000	86.939
269.000000	86.970
272.000000	86.994
276.000000	87.026
280.000000	87.062
285.000000	87.110
290.000000	87.155
295.000000	87.188
300.000000	87.212
304.000000	87.226
307.000000	87.238
311.000000	87.258
315.000000	87.286
320.000000	87.329
325.000000	87.379
330.000000	87.431
335.000000	87.481
340.000000	87.522
345.000000	87.554
350.000000	87.581
355.000000	87.606
360.000000	87.625
365.000000	87.638
370.000000	87.646
375.000000	87.654
382.000000	87.666
387.000000	87.674
395.000000	87.683
400.000000	87.687
406.000000	87.689
412.000000	87.689
418.000000	87.685
425.000000	87.672
431.000000	87.655
437.000000	87.634
444.000000	87.610
450.000000	87.592
455.000000	87.578
462.000000	87.560
468.000000	87.542
475.000000	87.520
482.000000	87.497
487.000000	87.481
494.000000	87.456
500.000000	87.431
508.000000	87.394
515.000000	87.364
522.000000	87.345
530.000000	87.350
538.000000	87.383
545.000000	87.423
552.000000	87.459
560.000000	87.494
570.000000	87.544
580.000000	87.617
590.000000	87.707
600.000000	87.798
608.000000	87.861
615.000000	87.905
622.000000	87.938
630.000000	87.959
640.000000	87.966
650.000000	87.971
660.000000	87.994
670.000000	88.035
680.000000	88.082
690.000000	88.125
700.000000	88.167
710.000000	88.214
720.000000	88.275
730.000000	88.354
740.000000	88.447
750.000000	88.543
762.000000	88.656
775.000000	88.773
788.000000	88.878
800.000000	88.952
812.000000	88.992
825.000000	88.990
838.000000	88.936
850.000000	88.847
862.000000	88.737
875.000000	88.610
885.000000	88.516
900.000000	88.384
912.000000	88.282
925.000000	88.174
938.000000	88.063
950.000000	87.954
962.000000	87.835
975.000000	87.693
988.000000	87.539
1000.000000	87.390
1015.000000	87.200
1030.000000	87.009
1044.000000	86.836
1060.000000	86.651
1075.000000	86.495
1090.000000	86.361
1106.000000	86.246
1120.000000	86.171
1138.000000	86.104
1150.000000	86.074
1172.000000	86.034
1180.000000	86.024
1206.000000	86.012
1220.000000	86.023
1241.000000	86.060
1250.000000	86.083
1265.000000	86.125
1280.000000	86.169
1315.000000	86.260
1320.000000	86.270
1340.000000	86.305
1360.000000	86.330
1380.000000	86.347
1400.000000	86.358
1430.000000	86.368
1450.000000	86.374
1475.000000	86.389
1500.000000	86.415
1525.000000	86.446
1550.000000	86.470
1575.000000	86.488
1600.000000	86.527
1625.000000	86.626
1650.000000	86.810
1675.000000	87.071
1700.000000	87.379
1725.000000	87.696
1750.000000	87.998
1775.000000	88.275
1800.000000	88.523
1825.000000	88.748
1850.000000	88.955
1875.000000	89.150
1900.000000	89.336
1925.000000	89.514
1950.000000	89.681
1975.000000	89.836
2000.000000	89.978
2030.000000	90.130
2060.000000	90.266
2090.000000	90.391
2120.000000	90.510
2140.000000	90.587
2180.000000	90.734
2200.000000	90.804
2240.000000	90.928
2270.000000	91.008
2300.000000	91.079
2330.000000	91.145
2360.000000	91.209
2400.000000	91.297
2430.000000	91.371
2470.000000	91.481
2500.000000	91.574
2540.000000	91.712
2580.000000	91.863
2620.000000	92.023
2650.000000	92.147
2690.000000	92.316
2720.000000	92.447
2760.000000	92.625
2800.000000	92.805
2850.000000	93.030
2900.000000	93.245
2950.000000	93.439
3000.000000	93.593
3040.000000	93.673
3070.000000	93.702
3110.000000	93.695
3150.000000	93.629
3200.000000	93.454
3250.000000	93.161
3300.000000	92.745
3350.000000	92.221
3400.000000	91.627
3450.000000	91.001
3500.000000	90.372
3550.000000	89.752
3600.000000	89.142
3650.000000	88.536
3700.000000	87.928
3750.000000	87.319
3820.000000	86.497
3870.000000	85.971
3950.000000	85.342
4000.000000	85.133
4060.000000	85.082
4120.000000	85.206
4180.000000	85.431
4250.000000	85.734
4310.000000	86.021
4370.000000	86.410
4440.000000	87.149
4500.000000	88.091
4550.000000	89.035
4620.000000	90.386
4680.000000	91.378
4750.000000	92.187
4820.000000	92.582
4870.000000	92.651
4940.000000	92.565
5000.000000	92.456
5080.000000	92.489
5150.000000	92.836
5220.000000	93.503
5300.000000	94.518
5380.000000	95.570
5450.000000	96.354
5520.000000	96.910
5600.000000	97.202
5700.000000	97.016
5800.000000	96.247
5900.000000	94.981
6000.000000	93.333
6080.000000	91.822
6150.000000	90.410
6220.000000	88.952
6300.000000	87.265
6400.000000	85.173
6500.000000	83.141
6600.000000	81.196
6700.000000	79.361
6800.000000	77.690
6900.000000	76.350
7000.000000	75.709
7100.000000	76.106
7200.000000	77.379
7300.000000	79.013
7400.000000	80.629
7500.000000	82.057
7620.000000	83.449
7750.000000	84.554
7880.000000	85.294
8000.000000	85.741
8120.000000	86.049
8250.000000	86.283
8380.000000	86.423
8500.000000	86.468
8620.000000	86.472
8750.000000	86.519
8850.000000	86.629
9000.000000	86.880
9120.000000	87.035
9250.000000	86.997
9380.000000	86.625
9500.000000	85.937
9620.000000	84.929
9750.000000	83.552
9880.000000	82.045
10000.000000	80.780
10150.000000	79.769
10300.000000	79.578
10440.000000	79.890
10600.000000	80.406
10750.000000	80.826
10900.000000	81.126
11060.000000	81.309
11200.000000	81.355
11380.000000	81.299
11500.000000	81.257
11720.000000	81.440
11800.000000	81.644
12060.000000	82.764
12200.000000	83.519
12410.000000	84.625
12500.000000	85.046
12650.000000	85.630
12800.000000	86.025
13150.000000	86.002
13200.000000	85.881
13400.000000	85.115
13600.000000	83.974
13800.000000	82.597
14000.000000	81.157
14300.000000	79.297
14500.000000	78.501
14750.000000	78.090
15000.000000	78.165
15250.000000	78.498
15500.000000	78.845
15750.000000	78.968
16000.000000	78.765
16250.000000	78.342
16500.000000	77.969
16750.000000	77.861
17000.000000	77.954
17250.000000	77.976
17500.000000	77.685
17750.000000	77.008
18000.000000	76.076
18250.000000	75.195
18500.000000	74.652
18750.000000	74.448
19000.000000	74.349
19250.000000	74.136
19500.000000	73.740
19750.000000	73.257
