* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ZMF Aeolus, R ZMF Aeolus, R ZMF Aeolus
* Dated: Jun 30, 2024 12:09:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ZMF Aeolus, R ZMF Aeolus, R ZMF Aeolus
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.615
20.299999	77.795
20.600000	77.970
20.900000	78.141
21.200001	78.311
21.400000	78.425
21.799999	78.655
22.000000	78.769
22.400000	78.989
22.700001	79.144
23.000000	79.287
23.299999	79.421
23.600000	79.548
24.000000	79.715
24.299999	79.840
24.700001	80.004
25.000000	80.122
25.400000	80.268
25.799999	80.401
26.200001	80.524
26.500000	80.612
26.900000	80.724
27.200001	80.807
27.600000	80.913
28.000000	81.017
28.500000	81.146
29.000000	81.275
29.500000	81.401
30.000000	81.520
30.400000	81.611
30.700001	81.678
31.100000	81.766
31.500000	81.853
32.000000	81.959
32.500000	82.060
33.000000	82.159
33.500000	82.258
34.000000	82.356
34.500000	82.450
35.000000	82.536
35.500000	82.618
36.000000	82.699
36.500000	82.785
37.000000	82.872
37.500000	82.955
38.200001	83.060
38.700001	83.128
39.500000	83.234
40.000000	83.298
40.599998	83.368
41.200001	83.429
41.799999	83.484
42.500000	83.546
43.099998	83.597
43.700001	83.647
44.400002	83.708
45.000000	83.761
45.500000	83.803
46.200001	83.856
46.799999	83.897
47.500000	83.944
48.200001	83.993
48.700001	84.027
49.400002	84.074
50.000000	84.113
50.799999	84.164
51.500000	84.209
52.200001	84.257
53.000000	84.315
53.799999	84.376
54.500000	84.429
55.200001	84.480
56.000000	84.536
57.000000	84.602
58.000000	84.663
59.000000	84.717
60.000000	84.760
60.799999	84.787
61.500000	84.808
62.200001	84.827
63.000000	84.848
64.000000	84.876
65.000000	84.904
66.000000	84.930
67.000000	84.953
