* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ZMF Atrium Closed, L ZMF Atrium Closed, L ZMF Atrium Closed
* Dated: Jun 30, 2024 12:10:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ZMF Atrium Closed, L ZMF Atrium Closed, L ZMF Atrium Closed
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.812
20.299999	79.956
20.600000	80.088
20.900000	80.207
21.200001	80.313
21.400000	80.377
21.799999	80.495
22.000000	80.553
22.400000	80.670
22.700001	80.762
23.000000	80.857
23.299999	80.953
23.600000	81.051
24.000000	81.183
24.299999	81.284
24.700001	81.425
25.000000	81.533
25.400000	81.676
25.799999	81.813
26.200001	81.940
26.500000	82.028
26.900000	82.135
27.200001	82.210
27.600000	82.305
28.000000	82.395
28.500000	82.509
29.000000	82.631
29.500000	82.764
30.000000	82.898
30.400000	82.996
30.700001	83.061
31.100000	83.137
31.500000	83.204
32.000000	83.280
32.500000	83.355
33.000000	83.427
33.500000	83.496
34.000000	83.561
34.500000	83.620
35.000000	83.673
35.500000	83.723
36.000000	83.769
36.500000	83.812
37.000000	83.853
37.500000	83.890
38.200001	83.935
38.700001	83.959
39.500000	83.985
40.000000	83.994
40.599998	83.999
41.200001	84.000
41.799999	83.997
42.500000	83.989
43.099998	83.981
43.700001	83.977
44.400002	83.984
45.000000	84.005
45.500000	84.035
46.200001	84.091
46.799999	84.147
47.500000	84.211
48.200001	84.269
48.700001	84.305
49.400002	84.348
50.000000	84.378
50.799999	84.412
51.500000	84.439
52.200001	84.464
53.000000	84.492
53.799999	84.520
54.500000	84.544
55.200001	84.564
56.000000	84.579
57.000000	84.581
58.000000	84.573
59.000000	84.562
60.000000	84.550
60.799999	84.536
61.500000	84.511
62.200001	84.471
