* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ZMF Atrium Closed, R ZMF Atrium Closed, R ZMF Atrium Closed
* Dated: Jun 30, 2024 12:10:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ZMF Atrium Closed, R ZMF Atrium Closed, R ZMF Atrium Closed
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.892
20.299999	78.017
20.600000	78.137
20.900000	78.258
21.200001	78.385
21.400000	78.473
21.799999	78.646
22.000000	78.726
22.400000	78.862
22.700001	78.942
23.000000	79.009
23.299999	79.072
23.600000	79.143
24.000000	79.260
24.299999	79.366
24.700001	79.523
25.000000	79.644
25.400000	79.805
25.799999	79.966
26.200001	80.129
26.500000	80.253
26.900000	80.413
27.200001	80.526
27.600000	80.661
28.000000	80.780
28.500000	80.918
29.000000	81.047
29.500000	81.163
30.000000	81.262
30.400000	81.331
30.700001	81.381
31.100000	81.450
31.500000	81.522
32.000000	81.612
32.500000	81.696
33.000000	81.773
33.500000	81.844
34.000000	81.909
34.500000	81.970
35.000000	82.030
35.500000	82.089
36.000000	82.142
36.500000	82.190
37.000000	82.238
37.500000	82.291
38.200001	82.361
38.700001	82.393
39.500000	82.421
40.000000	82.439
40.599998	82.463
41.200001	82.480
41.799999	82.492
42.500000	82.517
43.099998	82.544
43.700001	82.564
44.400002	82.582
45.000000	82.618
45.500000	82.667
46.200001	82.744
46.799999	82.804
47.500000	82.867
48.200001	82.929
48.700001	82.968
49.400002	83.006
50.000000	83.023
50.799999	83.042
51.500000	83.061
52.200001	83.076
53.000000	83.076
53.799999	83.059
54.500000	83.034
55.200001	83.001
56.000000	82.945
57.000000	82.840
58.000000	82.707
59.000000	82.583
60.000000	82.501
60.799999	82.465
61.500000	82.445
62.200001	82.425
63.000000	82.397
64.000000	82.354
65.000000	82.314
66.000000	82.284
67.000000	82.255
68.000000	82.213
69.000000	82.150
70.000000	82.076
71.000000	82.011
72.000000	81.971
73.000000	81.963
74.000000	81.991
75.000000	82.055
76.199997	82.156
77.500000	82.245
78.800003	82.255
80.000000	82.183
81.199997	82.061
82.500000	81.931
83.800003	81.854
85.000000	81.848
86.199997	81.897
87.500000	81.984
88.500000	82.055
90.000000	82.136
91.199997	82.166
92.500000	82.159
93.800003	82.117
95.000000	82.057
96.199997	81.988
97.500000	81.918
98.800003	81.861
100.000000	81.820
101.500000	81.772
103.000000	81.716
104.400002	81.650
106.000000	81.563
107.500000	81.487
109.000000	81.431
110.599998	81.398
112.000000	81.380
113.800003	81.357
115.000000	81.332
117.199997	81.268
118.000000	81.241
120.599998	81.155
122.000000	81.112
124.099998	81.043
125.000000	81.011
126.500000	80.951
128.000000	80.886
131.500000	80.729
132.000000	80.707
134.000000	80.624
136.000000	80.543
138.000000	80.462
140.000000	80.382
143.000000	80.262
145.000000	80.184
147.500000	80.092
150.000000	80.004
152.500000	79.913
155.000000	79.813
157.500000	79.705
160.000000	79.595
162.500000	79.490
165.000000	79.397
167.500000	79.323
170.000000	79.270
172.500000	79.228
175.000000	79.184
177.500000	79.128
180.000000	79.057
182.500000	78.980
185.000000	78.913
187.500000	78.867
190.000000	78.850
192.500000	78.857
195.000000	78.878
197.500000	78.902
200.000000	78.920
203.000000	78.933
206.000000	78.945
209.000000	78.984
212.000000	79.068
214.000000	79.148
218.000000	79.335
220.000000	79.430
224.000000	79.616
227.000000	79.759
230.000000	79.907
233.000000	80.060
236.000000	80.212
240.000000	80.406
243.000000	80.544
247.000000	80.719
250.000000	80.847
254.000000	81.014
258.000000	81.174
262.000000	81.325
265.000000	81.431
269.000000	81.564
272.000000	81.657
276.000000	81.773
280.000000	81.879
285.000000	81.998
290.000000	82.100
295.000000	82.186
300.000000	82.255
304.000000	82.300
307.000000	82.328
