* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ZMF Auteur, L ZMF Auteur, L ZMF Auteur
* Dated: Jun 30, 2024 12:12:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ZMF Auteur, L ZMF Auteur, L ZMF Auteur
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.816
20.299999	78.892
20.600000	79.001
20.900000	79.145
21.200001	79.314
21.400000	79.429
21.799999	79.640
22.000000	79.725
22.400000	79.846
22.700001	79.900
23.000000	79.938
23.299999	79.980
23.600000	80.042
24.000000	80.172
24.299999	80.304
24.700001	80.512
25.000000	80.677
25.400000	80.889
25.799999	81.079
26.200001	81.239
26.500000	81.336
26.900000	81.434
27.200001	81.482
27.600000	81.516
28.000000	81.526
28.500000	81.530
29.000000	81.552
29.500000	81.602
30.000000	81.665
30.400000	81.714
30.700001	81.747
31.100000	81.786
31.500000	81.825
32.000000	81.881
32.500000	81.951
33.000000	82.033
33.500000	82.121
34.000000	82.211
34.500000	82.294
35.000000	82.366
35.500000	82.425
36.000000	82.476
36.500000	82.523
37.000000	82.574
37.500000	82.628
38.200001	82.705
38.700001	82.754
39.500000	82.819
40.000000	82.853
40.599998	82.891
41.200001	82.928
41.799999	82.965
42.500000	83.005
43.099998	83.041
43.700001	83.081
44.400002	83.133
45.000000	83.179
45.500000	83.217
46.200001	83.271
46.799999	83.316
47.500000	83.366
48.200001	83.415
48.700001	83.450
49.400002	83.503
50.000000	83.549
50.799999	83.605
51.500000	83.649
52.200001	83.691
53.000000	83.735
53.799999	83.771
54.500000	83.792
55.200001	83.807
56.000000	83.816
57.000000	83.823
58.000000	83.838
59.000000	83.864
60.000000	83.899
60.799999	83.929
61.500000	83.953
62.200001	83.972
63.000000	83.986
64.000000	83.993
65.000000	83.997
66.000000	84.004
67.000000	84.017
68.000000	84.033
69.000000	84.050
70.000000	84.066
71.000000	84.082
72.000000	84.097
73.000000	84.111
74.000000	84.128
75.000000	84.149
76.199997	84.175
77.500000	84.201
78.800003	84.226
80.000000	84.251
81.199997	84.282
82.500000	84.323
83.800003	84.368
85.000000	84.408
86.199997	84.446
87.500000	84.484
88.500000	84.512
90.000000	84.551
91.199997	84.580
92.500000	84.611
93.800003	84.641
95.000000	84.668
96.199997	84.694
97.500000	84.723
98.800003	84.752
100.000000	84.782
101.500000	84.819
103.000000	84.855
104.400002	84.885
106.000000	84.914
107.500000	84.940
109.000000	84.969
110.599998	85.005
112.000000	85.036
113.800003	85.071
115.000000	85.090
117.199997	85.112
118.000000	85.118
120.599998	85.135
122.000000	85.148
124.099998	85.177
125.000000	85.192
126.500000	85.218
128.000000	85.241
131.500000	85.269
132.000000	85.271
134.000000	85.283
136.000000	85.305
138.000000	85.326
140.000000	85.341
143.000000	85.382
145.000000	85.435
147.500000	85.516
150.000000	85.578
152.500000	85.599
155.000000	85.605
157.500000	85.614
160.000000	85.625
162.500000	85.632
165.000000	85.628
167.500000	85.615
170.000000	85.595
172.500000	85.578
175.000000	85.563
177.500000	85.539
180.000000	85.502
182.500000	85.468
185.000000	85.444
187.500000	85.416
190.000000	85.369
192.500000	85.315
195.000000	85.271
197.500000	85.242
200.000000	85.224
203.000000	85.216
206.000000	85.221
209.000000	85.227
212.000000	85.225
214.000000	85.220
218.000000	85.204
220.000000	85.196
224.000000	85.185
227.000000	85.181
230.000000	85.177
233.000000	85.179
236.000000	85.186
240.000000	85.174
243.000000	85.146
247.000000	85.102
250.000000	85.073
254.000000	85.053
258.000000	85.047
262.000000	85.033
265.000000	85.018
269.000000	85.008
272.000000	85.009
276.000000	85.016
280.000000	85.031
285.000000	85.062
290.000000	85.070
295.000000	85.073
300.000000	85.097
304.000000	85.117
307.000000	85.129
311.000000	85.148
315.000000	85.167
320.000000	85.183
325.000000	85.192
330.000000	85.207
335.000000	85.236
340.000000	85.272
345.000000	85.307
350.000000	85.334
355.000000	85.350
360.000000	85.362
365.000000	85.382
370.000000	85.408
375.000000	85.434
382.000000	85.468
387.000000	85.494
395.000000	85.513
400.000000	85.502
406.000000	85.492
412.000000	85.509
418.000000	85.563
425.000000	85.618
431.000000	85.630
437.000000	85.629
444.000000	85.649
450.000000	85.682
455.000000	85.702
462.000000	85.715
468.000000	85.720
475.000000	85.727
482.000000	85.737
487.000000	85.745
494.000000	85.760
500.000000	85.768
508.000000	85.761
515.000000	85.756
522.000000	85.783
530.000000	85.837
538.000000	85.885
545.000000	85.917
552.000000	85.936
560.000000	85.934
570.000000	85.889
580.000000	85.841
590.000000	85.828
600.000000	85.816
608.000000	85.807
615.000000	85.803
622.000000	85.802
630.000000	85.804
640.000000	85.809
650.000000	85.819
660.000000	85.833
670.000000	85.858
680.000000	85.902
690.000000	85.945
700.000000	85.981
710.000000	86.029
720.000000	86.086
730.000000	86.146
740.000000	86.203
750.000000	86.264
762.000000	86.347
775.000000	86.440
788.000000	86.535
800.000000	86.625
812.000000	86.710
825.000000	86.802
838.000000	86.894
850.000000	86.962
862.000000	87.008
875.000000	87.040
885.000000	87.054
900.000000	87.043
912.000000	86.997
925.000000	86.911
938.000000	86.805
950.000000	86.708
962.000000	86.635
975.000000	86.591
988.000000	86.569
1000.000000	86.554
1015.000000	86.526
1030.000000	86.485
1044.000000	86.433
1060.000000	86.362
1075.000000	86.288
1090.000000	86.213
1106.000000	86.140
1120.000000	86.090
1138.000000	86.057
1150.000000	86.050
1172.000000	86.026
1180.000000	86.007
1206.000000	85.909
1220.000000	85.833
1241.000000	85.678
1250.000000	85.591
1265.000000	85.412
1280.000000	85.178
1315.000000	84.368
1320.000000	84.223
1340.000000	83.592
1360.000000	82.922
1380.000000	82.303
1400.000000	81.838
1430.000000	81.545
1450.000000	81.591
1475.000000	81.778
1500.000000	81.950
1525.000000	82.031
1550.000000	82.083
1575.000000	82.174
1600.000000	82.315
1625.000000	82.483
1650.000000	82.669
1675.000000	82.881
1700.000000	83.127
1725.000000	83.406
1750.000000	83.713
1775.000000	84.032
1800.000000	84.346
1825.000000	84.648
1850.000000	84.941
1875.000000	85.233
1900.000000	85.524
1925.000000	85.818
1950.000000	86.121
1975.000000	86.438
2000.000000	86.764
2030.000000	87.152
2060.000000	87.526
2090.000000	87.884
2120.000000	88.232
2140.000000	88.460
2180.000000	88.910
2200.000000	89.129
2240.000000	89.549
2270.000000	89.840
2300.000000	90.112
2330.000000	90.368
2360.000000	90.613
2400.000000	90.932
2430.000000	91.170
2470.000000	91.482
2500.000000	91.712
2540.000000	92.012
2580.000000	92.306
2620.000000	92.595
2650.000000	92.810
2690.000000	93.098
2720.000000	93.316
2760.000000	93.614
2800.000000	93.919
2850.000000	94.304
2900.000000	94.676
2950.000000	95.015
3000.000000	95.309
3040.000000	95.505
3070.000000	95.627
3110.000000	95.750
3150.000000	95.830
3200.000000	95.871
3250.000000	95.854
3300.000000	95.780
3350.000000	95.648
3400.000000	95.456
3450.000000	95.203
3500.000000	94.888
3550.000000	94.517
3600.000000	94.100
3650.000000	93.650
3700.000000	93.175
3750.000000	92.685
3820.000000	91.996
3870.000000	91.522
3950.000000	90.843
4000.000000	90.503
4060.000000	90.212
4120.000000	90.058
4180.000000	90.026
4250.000000	90.098
4310.000000	90.210
4370.000000	90.336
4440.000000	90.476
4500.000000	90.584
4550.000000	90.669
4620.000000	90.788
4680.000000	90.900
4750.000000	91.055
4820.000000	91.255
4870.000000	91.434
4940.000000	91.746
5000.000000	92.071
