* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ZMF Auteur, R ZMF Auteur, R ZMF Auteur
* Dated: Jun 30, 2024 12:12:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ZMF Auteur, R ZMF Auteur, R ZMF Auteur
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.593
20.299999	77.741
20.600000	77.883
20.900000	78.019
21.200001	78.154
21.400000	78.243
21.799999	78.419
22.000000	78.503
22.400000	78.659
22.700001	78.762
23.000000	78.852
23.299999	78.934
23.600000	79.013
24.000000	79.125
24.299999	79.217
24.700001	79.352
25.000000	79.458
25.400000	79.599
25.799999	79.732
26.200001	79.856
26.500000	79.943
26.900000	80.056
27.200001	80.140
27.600000	80.252
28.000000	80.366
28.500000	80.506
29.000000	80.637
29.500000	80.755
30.000000	80.860
30.400000	80.940
30.700001	80.998
31.100000	81.076
31.500000	81.155
32.000000	81.254
32.500000	81.352
33.000000	81.448
33.500000	81.540
34.000000	81.626
34.500000	81.707
35.000000	81.785
35.500000	81.861
36.000000	81.934
36.500000	82.005
37.000000	82.074
37.500000	82.141
38.200001	82.235
38.700001	82.298
39.500000	82.388
40.000000	82.438
40.599998	82.493
41.200001	82.546
41.799999	82.596
42.500000	82.651
43.099998	82.694
43.700001	82.733
44.400002	82.774
45.000000	82.811
45.500000	82.844
46.200001	82.898
46.799999	82.951
47.500000	83.017
48.200001	83.087
48.700001	83.137
49.400002	83.208
50.000000	83.270
50.799999	83.350
51.500000	83.414
52.200001	83.470
53.000000	83.522
53.799999	83.565
54.500000	83.597
55.200001	83.629
56.000000	83.665
57.000000	83.712
58.000000	83.760
59.000000	83.803
60.000000	83.845
60.799999	83.880
61.500000	83.911
62.200001	83.942
63.000000	83.974
64.000000	84.010
65.000000	84.042
66.000000	84.072
67.000000	84.103
68.000000	84.135
69.000000	84.166
70.000000	84.196
71.000000	84.224
72.000000	84.252
73.000000	84.280
74.000000	84.310
75.000000	84.342
76.199997	84.382
77.500000	84.425
78.800003	84.467
80.000000	84.508
81.199997	84.553
82.500000	84.607
83.800003	84.665
85.000000	84.719
86.199997	84.773
87.500000	84.831
88.500000	84.874
90.000000	84.937
91.199997	84.988
92.500000	85.044
93.800003	85.103
95.000000	85.159
96.199997	85.216
97.500000	85.275
98.800003	85.332
100.000000	85.383
101.500000	85.444
103.000000	85.501
104.400002	85.551
106.000000	85.604
107.500000	85.650
109.000000	85.692
110.599998	85.731
112.000000	85.756
113.800003	85.777
115.000000	85.785
117.199997	85.794
118.000000	85.797
120.599998	85.813
122.000000	85.823
124.099998	85.830
125.000000	85.829
126.500000	85.821
128.000000	85.806
131.500000	85.755
132.000000	85.747
134.000000	85.715
136.000000	85.680
138.000000	85.645
140.000000	85.610
143.000000	85.561
145.000000	85.532
147.500000	85.499
150.000000	85.472
152.500000	85.452
155.000000	85.438
157.500000	85.425
160.000000	85.412
162.500000	85.398
165.000000	85.384
167.500000	85.371
170.000000	85.360
172.500000	85.349
175.000000	85.335
177.500000	85.319
180.000000	85.311
182.500000	85.314
185.000000	85.320
187.500000	85.314
190.000000	85.294
192.500000	85.271
195.000000	85.255
197.500000	85.250
200.000000	85.249
203.000000	85.245
206.000000	85.233
209.000000	85.219
212.000000	85.212
214.000000	85.211
218.000000	85.208
220.000000	85.199
224.000000	85.160
227.000000	85.120
230.000000	85.081
233.000000	85.049
236.000000	85.025
240.000000	85.011
243.000000	85.014
247.000000	85.034
250.000000	85.052
254.000000	85.069
258.000000	85.076
262.000000	85.078
265.000000	85.078
269.000000	85.082
272.000000	85.087
276.000000	85.096
280.000000	85.105
285.000000	85.112
290.000000	85.118
295.000000	85.126
300.000000	85.136
304.000000	85.146
307.000000	85.153
311.000000	85.164
315.000000	85.174
320.000000	85.186
325.000000	85.196
330.000000	85.209
335.000000	85.227
340.000000	85.249
345.000000	85.271
350.000000	85.287
355.000000	85.297
360.000000	85.305
365.000000	85.322
370.000000	85.353
375.000000	85.394
382.000000	85.455
387.000000	85.492
395.000000	85.533
400.000000	85.552
406.000000	85.575
412.000000	85.616
418.000000	85.682
425.000000	85.771
431.000000	85.827
437.000000	85.845
444.000000	85.828
450.000000	85.807
455.000000	85.795
462.000000	85.793
468.000000	85.800
475.000000	85.811
482.000000	85.823
487.000000	85.832
494.000000	85.845
500.000000	85.861
508.000000	85.888
515.000000	85.913
522.000000	85.933
530.000000	85.946
538.000000	85.951
545.000000	85.954
552.000000	85.959
560.000000	85.968
570.000000	85.977
580.000000	85.974
590.000000	85.957
600.000000	85.929
608.000000	85.907
615.000000	85.896
622.000000	85.897
630.000000	85.912
640.000000	85.942
650.000000	85.975
660.000000	86.006
670.000000	86.036
680.000000	86.069
690.000000	86.107
700.000000	86.151
710.000000	86.201
720.000000	86.258
730.000000	86.322
740.000000	86.392
750.000000	86.467
762.000000	86.560
775.000000	86.658
788.000000	86.747
800.000000	86.814
812.000000	86.864
825.000000	86.899
838.000000	86.914
850.000000	86.912
862.000000	86.897
875.000000	86.871
885.000000	86.847
900.000000	86.816
912.000000	86.798
925.000000	86.789
938.000000	86.788
950.000000	86.789
962.000000	86.787
975.000000	86.777
988.000000	86.759
1000.000000	86.735
1015.000000	86.696
1030.000000	86.647
1044.000000	86.593
1060.000000	86.526
1075.000000	86.464
1090.000000	86.404
1106.000000	86.340
1120.000000	86.285
1138.000000	86.216
1150.000000	86.171
1172.000000	86.095
1180.000000	86.070
1206.000000	85.991
1220.000000	85.947
1241.000000	85.868
1250.000000	85.828
1265.000000	85.750
1280.000000	85.661
1315.000000	85.405
1320.000000	85.361
1340.000000	85.158
1360.000000	84.895
1380.000000	84.558
1400.000000	84.149
1430.000000	83.458
1450.000000	83.022
1475.000000	82.596
1500.000000	82.346
1525.000000	82.254
1550.000000	82.269
1575.000000	82.352
1600.000000	82.485
1625.000000	82.665
1650.000000	82.887
1675.000000	83.145
1700.000000	83.428
