* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ZMF Verite Closed, L ZMF Verite Closed, L ZMF Verite Closed
* Dated: Jun 30, 2024 12:13:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ZMF Verite Closed, L ZMF Verite Closed, L ZMF Verite Closed
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.317
20.299999	78.487
20.600000	78.667
20.900000	78.848
21.200001	79.016
21.400000	79.113
21.799999	79.258
22.000000	79.305
22.400000	79.357
22.700001	79.381
23.000000	79.414
23.299999	79.472
23.600000	79.560
24.000000	79.711
24.299999	79.835
24.700001	79.997
25.000000	80.117
25.400000	80.289
25.799999	80.484
26.200001	80.697
26.500000	80.852
26.900000	81.030
27.200001	81.133
27.600000	81.234
28.000000	81.311
28.500000	81.408
29.000000	81.520
29.500000	81.634
30.000000	81.741
30.400000	81.825
30.700001	81.891
31.100000	81.987
31.500000	82.087
32.000000	82.202
32.500000	82.292
33.000000	82.358
33.500000	82.411
34.000000	82.460
34.500000	82.504
35.000000	82.539
35.500000	82.563
36.000000	82.585
36.500000	82.613
37.000000	82.656
37.500000	82.711
38.200001	82.791
38.700001	82.843
39.500000	82.922
40.000000	82.975
40.599998	83.043
41.200001	83.110
41.799999	83.168
42.500000	83.230
43.099998	83.288
43.700001	83.356
44.400002	83.451
45.000000	83.545
45.500000	83.629
46.200001	83.746
46.799999	83.838
47.500000	83.932
48.200001	84.017
48.700001	84.072
49.400002	84.138
50.000000	84.179
50.799999	84.215
51.500000	84.238
52.200001	84.257
53.000000	84.271
53.799999	84.271
54.500000	84.257
55.200001	84.239
56.000000	84.223
57.000000	84.219
58.000000	84.229
59.000000	84.243
60.000000	84.252
60.799999	84.251
61.500000	84.246
62.200001	84.242
63.000000	84.241
64.000000	84.244
65.000000	84.242
66.000000	84.230
67.000000	84.213
68.000000	84.198
69.000000	84.191
70.000000	84.198
71.000000	84.222
72.000000	84.261
73.000000	84.314
74.000000	84.375
75.000000	84.442
76.199997	84.526
77.500000	84.623
78.800003	84.726
80.000000	84.823
81.199997	84.920
82.500000	85.026
83.800003	85.134
85.000000	85.236
86.199997	85.339
87.500000	85.453
88.500000	85.545
90.000000	85.689
91.199997	85.808
92.500000	85.936
93.800003	86.061
95.000000	86.170
96.199997	86.273
97.500000	86.377
98.800003	86.471
100.000000	86.547
101.500000	86.625
103.000000	86.687
104.400002	86.736
106.000000	86.791
107.500000	86.845
109.000000	86.892
110.599998	86.930
112.000000	86.955
113.800003	86.987
115.000000	87.008
117.199997	87.032
118.000000	87.034
120.599998	87.016
122.000000	86.998
124.099998	86.964
125.000000	86.946
126.500000	86.909
128.000000	86.865
131.500000	86.768
132.000000	86.759
134.000000	86.751
136.000000	86.788
138.000000	86.857
140.000000	86.926
143.000000	86.995
145.000000	87.017
147.500000	87.023
150.000000	87.009
152.500000	86.972
155.000000	86.919
157.500000	86.862
160.000000	86.810
162.500000	86.765
165.000000	86.722
167.500000	86.676
170.000000	86.624
172.500000	86.569
175.000000	86.514
177.500000	86.458
180.000000	86.400
182.500000	86.339
185.000000	86.277
187.500000	86.216
190.000000	86.163
192.500000	86.124
195.000000	86.101
197.500000	86.093
200.000000	86.095
203.000000	86.100
206.000000	86.105
209.000000	86.113
212.000000	86.131
214.000000	86.151
218.000000	86.206
220.000000	86.237
224.000000	86.299
227.000000	86.340
230.000000	86.381
233.000000	86.427
236.000000	86.484
240.000000	86.581
243.000000	86.665
247.000000	86.773
250.000000	86.847
254.000000	86.934
258.000000	87.016
262.000000	87.095
265.000000	87.155
269.000000	87.236
272.000000	87.298
276.000000	87.384
280.000000	87.473
285.000000	87.588
290.000000	87.705
295.000000	87.826
300.000000	87.947
304.000000	88.042
307.000000	88.113
311.000000	88.210
315.000000	88.311
320.000000	88.444
325.000000	88.579
330.000000	88.711
335.000000	88.835
340.000000	88.950
345.000000	89.053
350.000000	89.139
355.000000	89.210
360.000000	89.272
365.000000	89.331
370.000000	89.393
375.000000	89.457
382.000000	89.546
387.000000	89.604
395.000000	89.680
400.000000	89.716
406.000000	89.750
412.000000	89.778
418.000000	89.798
425.000000	89.814
431.000000	89.821
437.000000	89.824
444.000000	89.822
450.000000	89.818
455.000000	89.810
462.000000	89.794
468.000000	89.776
475.000000	89.752
482.000000	89.728
487.000000	89.711
494.000000	89.689
500.000000	89.670
508.000000	89.642
515.000000	89.614
522.000000	89.581
530.000000	89.538
538.000000	89.488
545.000000	89.438
552.000000	89.382
560.000000	89.311
570.000000	89.215
580.000000	89.115
590.000000	89.016
600.000000	88.918
608.000000	88.840
615.000000	88.774
622.000000	88.712
630.000000	88.646
640.000000	88.572
650.000000	88.508
660.000000	88.456
670.000000	88.416
680.000000	88.385
690.000000	88.362
700.000000	88.341
710.000000	88.322
720.000000	88.308
730.000000	88.301
740.000000	88.304
750.000000	88.316
762.000000	88.338
775.000000	88.364
788.000000	88.382
800.000000	88.384
812.000000	88.369
825.000000	88.329
838.000000	88.269
850.000000	88.201
862.000000	88.123
875.000000	88.032
885.000000	87.958
900.000000	87.842
912.000000	87.748
925.000000	87.645
938.000000	87.542
950.000000	87.447
962.000000	87.354
975.000000	87.254
988.000000	87.157
1000.000000	87.071
1015.000000	86.966
1030.000000	86.866
1044.000000	86.777
1060.000000	86.680
1075.000000	86.593
1090.000000	86.508
1106.000000	86.415
1120.000000	86.331
1138.000000	86.222
1150.000000	86.153
1172.000000	86.043
1180.000000	86.008
1206.000000	85.914
1220.000000	85.874
1241.000000	85.825
1250.000000	85.807
1265.000000	85.782
1280.000000	85.761
1315.000000	85.726
1320.000000	85.723
1340.000000	85.709
1360.000000	85.699
1380.000000	85.690
1400.000000	85.685
1430.000000	85.687
1450.000000	85.696
1475.000000	85.716
1500.000000	85.748
1525.000000	85.789
1550.000000	85.839
1575.000000	85.896
1600.000000	85.963
1625.000000	86.040
1650.000000	86.129
1675.000000	86.231
1700.000000	86.345
1725.000000	86.472
1750.000000	86.614
1775.000000	86.771
1800.000000	86.943
1825.000000	87.130
1850.000000	87.332
1875.000000	87.547
1900.000000	87.774
1925.000000	88.012
1950.000000	88.258
1975.000000	88.510
2000.000000	88.768
2030.000000	89.083
2060.000000	89.401
2090.000000	89.720
2120.000000	90.036
2140.000000	90.244
2180.000000	90.648
2200.000000	90.843
2240.000000	91.216
2270.000000	91.479
2300.000000	91.727
2330.000000	91.960
2360.000000	92.177
2400.000000	92.443
2430.000000	92.624
2470.000000	92.842
2500.000000	92.988
2540.000000	93.160
2580.000000	93.301
2620.000000	93.399
2650.000000	93.433
2690.000000	93.408
2720.000000	93.321
2760.000000	93.099
2800.000000	92.745
2850.000000	92.139
2900.000000	91.438
2950.000000	90.814
3000.000000	90.454
3040.000000	90.412
3070.000000	90.500
3110.000000	90.713
3150.000000	90.959
3200.000000	91.225
3250.000000	91.394
3300.000000	91.450
3350.000000	91.403
3400.000000	91.278
3450.000000	91.110
3500.000000	90.953
3550.000000	90.869
3600.000000	90.922
3650.000000	91.150
3700.000000	91.539
3750.000000	92.026
3820.000000	92.718
3870.000000	93.129
3950.000000	93.552
4000.000000	93.661
4060.000000	93.654
4120.000000	93.530
4180.000000	93.325
4250.000000	93.024
4310.000000	92.748
4370.000000	92.480
4440.000000	92.210
4500.000000	92.041
4550.000000	91.963
4620.000000	91.976
4680.000000	92.131
4750.000000	92.507
4820.000000	93.104
4870.000000	93.656
4940.000000	94.563
5000.000000	95.419
5080.000000	96.581
5150.000000	97.541
5220.000000	98.377
5300.000000	99.110
5380.000000	99.542
5450.000000	99.642
5520.000000	99.478
5600.000000	98.993
5700.000000	98.049
5800.000000	96.906
5900.000000	95.752
6000.000000	94.703
6080.000000	93.953
6150.000000	93.344
6220.000000	92.755
6300.000000	92.074
6400.000000	91.164
6500.000000	90.160
6600.000000	89.069
6700.000000	87.937
6800.000000	86.838
6900.000000	85.888
7000.000000	85.238
7100.000000	85.023
7200.000000	85.261
7300.000000	85.840
7400.000000	86.599
7500.000000	87.406
7620.000000	88.293
7750.000000	89.003
7880.000000	89.351
8000.000000	89.343
8120.000000	89.086
8250.000000	88.632
8380.000000	88.077
8500.000000	87.489
8620.000000	86.804
8750.000000	85.927
8850.000000	85.180
9000.000000	84.089
9120.000000	83.372
9250.000000	82.770
9380.000000	82.268
9500.000000	81.865
9620.000000	81.577
9750.000000	81.463
9880.000000	81.515
10000.000000	81.576
10150.000000	81.475
10300.000000	81.075
10440.000000	80.521
10600.000000	80.017
10750.000000	80.063
10900.000000	80.716
11060.000000	81.795
11200.000000	82.750
11380.000000	83.685
11500.000000	84.031
11720.000000	84.036
11800.000000	83.852
12060.000000	82.780
12200.000000	82.111
12410.000000	81.505
12500.000000	81.529
12650.000000	81.971
12800.000000	82.720
13150.000000	84.147
13200.000000	84.226
13400.000000	84.146
13600.000000	83.457
13800.000000	82.268
14000.000000	80.797
14300.000000	79.085
14500.000000	79.100
14750.000000	80.211
15000.000000	81.482
15250.000000	82.427
15500.000000	83.135
15750.000000	83.833
16000.000000	84.555
16250.000000	85.119
16500.000000	85.361
16750.000000	85.254
17000.000000	84.863
17250.000000	84.253
17500.000000	83.470
17750.000000	82.620
18000.000000	81.961
18250.000000	81.814
18500.000000	82.274
18750.000000	83.141
19000.000000	84.126
19250.000000	85.009
19500.000000	85.668
19750.000000	86.073
20000.000000	86.257
