* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ZMF Verite Closed, R ZMF Verite Closed, R ZMF Verite Closed
* Dated: Jun 30, 2024 12:13:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ZMF Verite Closed, R ZMF Verite Closed, R ZMF Verite Closed
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.895
20.299999	75.987
20.600000	76.062
20.900000	76.117
21.200001	76.152
21.400000	76.165
21.799999	76.185
22.000000	76.201
22.400000	76.277
22.700001	76.388
23.000000	76.548
23.299999	76.747
23.600000	76.961
24.000000	77.233
24.299999	77.403
24.700001	77.567
25.000000	77.645
25.400000	77.700
25.799999	77.724
26.200001	77.741
26.500000	77.759
26.900000	77.794
27.200001	77.827
27.600000	77.873
28.000000	77.921
28.500000	77.999
29.000000	78.126
29.500000	78.311
30.000000	78.514
30.400000	78.653
30.700001	78.733
31.100000	78.814
31.500000	78.885
32.000000	78.992
32.500000	79.123
33.000000	79.255
33.500000	79.363
34.000000	79.453
34.500000	79.542
35.000000	79.634
35.500000	79.715
36.000000	79.768
36.500000	79.798
37.000000	79.825
37.500000	79.871
38.200001	79.975
38.700001	80.057
39.500000	80.148
40.000000	80.170
40.599998	80.175
41.200001	80.180
41.799999	80.201
42.500000	80.244
43.099998	80.291
43.700001	80.344
44.400002	80.424
45.000000	80.527
45.500000	80.645
46.200001	80.832
46.799999	80.967
47.500000	81.049
48.200001	81.055
48.700001	81.043
49.400002	81.053
50.000000	81.107
50.799999	81.233
51.500000	81.361
52.200001	81.469
53.000000	81.533
53.799999	81.515
54.500000	81.454
55.200001	81.395
56.000000	81.369
57.000000	81.424
58.000000	81.560
59.000000	81.732
60.000000	81.895
60.799999	81.987
61.500000	82.025
62.200001	82.024
63.000000	81.988
64.000000	81.922
65.000000	81.863
66.000000	81.820
67.000000	81.778
68.000000	81.725
69.000000	81.669
70.000000	81.622
71.000000	81.590
72.000000	81.585
73.000000	81.614
74.000000	81.667
75.000000	81.742
76.199997	81.875
77.500000	82.058
78.800003	82.222
80.000000	82.334
81.199997	82.428
82.500000	82.515
83.800003	82.563
85.000000	82.568
86.199997	82.568
87.500000	82.616
88.500000	82.698
90.000000	82.873
91.199997	83.024
92.500000	83.170
93.800003	83.280
95.000000	83.350
96.199997	83.397
97.500000	83.444
98.800003	83.505
100.000000	83.579
101.500000	83.690
103.000000	83.801
104.400002	83.886
106.000000	83.952
107.500000	83.988
109.000000	84.006
110.599998	84.002
112.000000	83.979
113.800003	83.940
115.000000	83.929
117.199997	83.981
